Posting Date,QuantityAbs
2019-04-30,57.0
2019-05-31,3702.0
2019-06-30,70.0
2019-07-31,4473.24
2019-08-31,350.0
2019-09-30,80.0
2019-10-31,50.0
2019-11-30,293.06
2019-12-31,20.0
2020-01-31,30.0
2020-02-29,2.21
2020-03-31,300.0
2020-04-30,35.0
2020-05-31,0.005
2020-06-30,41.0
2020-07-31,20.0
2020-08-31,12.0
2020-09-30,40.0
2020-10-31,40.0
2020-11-30,100.0
2020-12-31,60.0
2021-01-31,75.0
2021-02-28,60.0
2021-03-31,290.0
2021-04-30,135.0
2021-05-31,100.0
2021-06-30,39.0
2021-07-31,135.0
2021-08-31,0.001
2021-09-30,40.0
2021-10-31,150.0
2021-11-30,30.0
2021-12-31,200.0
2022-01-31,150.0
2022-02-28,1574.4
2022-03-31,1300.0
